Ticker,first_date,last_date,n_rows,n_days
ACES,2015-03-02,2025-02-28,2473,2473
ADMR,2022-01-03,2025-02-28,761,761
ADRO,2015-03-02,2025-02-28,2473,2473
AKRA,2015-03-02,2025-02-28,2474,2474
AMMN,2023-07-07,2025-02-28,397,397
AMRT,2015-03-02,2025-02-28,2474,2474
ANTM,2015-03-02,2025-02-28,2474,2474
ARTO,2016-01-12,2025-02-28,2255,2255
ASII,2015-03-02,2025-02-28,2473,2473
BBCA,2015-03-02,2025-02-28,2474,2474
BBNI,2015-03-02,2025-02-28,2474,2474
BBRI,2015-03-02,2025-02-28,2474,2474
BBTN,2015-03-02,2025-02-28,2474,2474
BMRI,2015-03-02,2025-02-28,2474,2474
BRIS,2018-05-09,2025-02-28,1676,1676
BRPT,2015-03-02,2025-02-28,2474,2474
CPIN,2015-03-02,2025-02-28,2473,2473
CTRA,2015-03-02,2025-02-28,2473,2473
ESSA,2015-03-02,2025-02-28,2473,2473
EXCL,2015-03-02,2025-02-28,2474,2474
GOTO,2022-04-11,2025-02-28,694,694
ICBP,2015-03-02,2025-02-28,2473,2473
IHSG,2015-03-02,2025-02-28,2424,2424
INCO,2015-03-02,2025-02-28,2473,2473
INDF,2015-03-02,2025-02-28,2474,2474
INKP,2015-03-02,2025-02-28,2473,2473
ISAT,2015-03-02,2025-02-28,2474,2474
ITMG,2015-03-02,2025-02-28,2474,2474
JPFA,2015-03-02,2025-02-28,2474,2474
JSMR,2015-03-02,2025-02-28,2473,2473
KLBF,2015-03-02,2025-02-28,2474,2474
LQ45,2015-03-02,2025-02-28,2424,2424
MAPA,2018-07-05,2025-02-28,1636,1636
MAPI,2015-03-02,2025-02-28,2473,2473
MBMA,2023-04-18,2025-02-28,443,443
MDKA,2015-06-19,2025-02-28,2391,2391
MEDC,2015-03-02,2025-02-28,2474,2474
PGAS,2015-03-02,2025-02-28,2473,2473
PGEO,2023-02-24,2025-02-28,477,477
PTBA,2015-03-02,2025-02-28,2473,2473
SIDO,2015-03-02,2025-02-28,2466,2466
SMGR,2015-03-02,2025-02-28,2474,2474
SMRA,2015-03-02,2025-02-28,2474,2474
TLKM,2015-03-02,2025-02-28,2473,2473
TOWR,2015-03-02,2025-02-28,2473,2473
UNTR,2015-03-02,2025-02-28,2473,2473
UNVR,2015-03-02,2025-02-28,2474,2474
