Date,Close,High,Low,Open,Volume,Ticker
2015-03-02,652.6848755,668.4122219,644.8212023,668.4122219,23352800,ACES
2015-03-03,648.7530518,660.5485618,644.8212151,648.7530518,10343800,ACES
2015-03-04,648.7530518,652.6848884,640.8893784,652.6848884,14121100,ACES
2015-03-05,648.7530518,656.6167251,644.8212151,648.7530518,9093500,ACES
2015-03-06,648.7530518,656.6167251,644.8212151,648.7530518,5632200,ACES
2015-03-09,644.8212891,648.7531262,636.9576148,648.7531262,15285900,ACES
2015-03-10,640.8893433,644.8211797,613.366488,644.8211797,10430200,ACES
2015-03-11,613.3665771,636.9575993,613.3665771,636.9575993,10482500,ACES
2015-03-12,629.0939941,629.0939941,613.3666443,613.3666443,7630600,ACES
2015-03-13,629.0939941,636.9576691,625.1621567,629.0939941,2936800,ACES
2015-03-16,617.2984619,629.0939739,617.2984619,629.0939739,2717200,ACES
2015-03-17,605.5028687,629.0938895,601.5710318,617.2983791,9320400,ACES
2015-03-18,574.0482178,605.5029146,574.0482178,601.5710775,24406600,ACES
2015-03-19,581.9118652,589.7755391,577.9800283,577.9800283,16788900,ACES
2015-03-20,577.9800415,585.8437155,574.0482045,581.9118785,8295100,ACES
2015-03-23,574.0482178,585.8437291,574.0482178,581.911892,13192700,ACES
2015-03-24,566.1845093,577.9800199,558.3208355,577.9800199,17078000,ACES
2015-03-25,558.3208618,566.1845359,554.3890248,566.1845359,11073900,ACES
2015-03-26,550.4571533,562.2526637,546.5253165,554.3889901,9408900,ACES
2015-03-27,562.2526245,566.184461,554.3889514,554.3889514,11291000,ACES
